&Data=//  Donau
434.9	1024.5
435.7	1024.5
436.5	1024.8
437.1	1025
437.6	1025.5
438.2	1026.7
438.7	1027.5
438.9	1028.1
439.2	1028.6
439.8	1028.8
440.1	1029.4
440.8	1029.8
441.8	1029.9
442.4	1029.7
442.3	1029.1
442.8	1029.4
443.5	1029.6
444.2	1029.7
444.8	1029.8
445.4	1029.7
445.9	1029.4
446.3	1028.9
447.2	1029.2
448.3	1029.3
449.1	1029
449.6	1028.7
450.2	1028.5
450.8	1028.5
453.4	1027.7
454.2	1027.7
454.9	1027.6
455.4	1027.3
455.9	1026.9
456.5	1026.9
457	1027.7
457.6	1027.9
458.2	1027.6
458.4	1027
458.1	1026
457.9	1025.3
457.9	1024.7
458.3	1024.3
458.9	1024.2
459.6	1023.8
459.6	1023.2
459.7	1022.6
460.1	1022
460.6	1021.7
461.7	1020.3
462.5	1020.4
463.7	1020.2
464.5	1019.9
464.9	1019.5
464.9	1018.4
465.2	1017.6
465.9	1017.6
466.8	1017.7
467.3	1017.1
467.8	1016.7
468.4	1016.6
468.9	1016.1
469.1	1015.5
469.4	1015
470	1015
470.5	1014.4
470.8	1013.7
471.5	1014
472.1	1014.4
472.6	1014.1
472.8	1013.5
473.3	1013.2
473.9	1013.5
474.3	1014.1
474.5	1014.7
473.8	1016.1
473.2	1016.6
473.4	1017.2
474.1	1017.3
474.5	1016.7
474.9	1016.3
475.2	1016.8
475.5	1016.2
476	1016.6
476.6	1016.2
477	1015.6
477.3	1015
477.3	1014.4
476.7	1014.3
476.6	1013.6
477	1013
477.4	1012.4
477.4	1011.6
477.7	1011
478.3	1011.1
478.5	1011.7
479	1011.4
479	1010.8
479.6	1010.6
479.9	1011.1
480.5	1010.9
480.2	1010.4
480.6	1009.8
481.2	1009.6
481.6	1008.9
482.2	1008.6
482.8	1008.6
483.3	1008.1
483.6	1007.6
484.4	1007.2
485	1006.8
485.4	1006.3
486	1006.1
486.7	1005.7
486.9	1006.3
487.2	1006.9
487.9	1006.9
488.5	1007.5
490.1	1006.8
490.3	1005.9
490.9	1005.7
490.9	1006.3
490.6	1006.8
490.5	1007.5
491	1007.8
491.5	1007.5
492.1	1007.6
492.5	1008
493	1007.6
493.8	1007.6
495.1	1007.7
495.6	1008.1
496.3	1008.5
496.6	1007.9
497.1	1007.6
497.5	1008
498.5	1007.9
499.1	1008.1
499.8	1008.1
500.3	1007.8
500.5	1006.8
501	1006.5
501.7	1006.4
502	1007
502.3	1007.7
502.3	1008.3
502.8	1008.6
503.5	1008.6
504.4	1009
505.2	1009.9
505.9	1010.1
506.5	1010
507.3	1009.8
507.9	1009.6
508.2	1009
508.1	1008.4
508.7	1008.6
509	1009.3
509.4	1009.8
510	1009.6
510.8	1009.1
511.4	1009.1
